The	0
blast	0
occurred	0
at	0
8	0
:20	0
am	0
as	0
President	PER
Rugova	PER
's	0
motorcade	0
was	0
headed	0
to	0
a	0
meeting	0
with	0
European	PER
Union	PER
foreign	PER
policy	PER
chief	PER
Javier	PER
Solana	PER
.	0
There	0
was	0
no	0
one	0
seriously	0
injured	0
.	0
One	0
person	0
was	0
injured	0
.	0
The	0
president	0
was	0
not	0
injured	0
.	0
There	0
was	0
flying	0
glass	0
and	0
a	0
shop	0
window	0
was	0
blown	0
out	0
.	0
And	0
the	0
police	0
are	0
saying	0
that	0
was	0
apparently	0
detonated	0
by	0
remote	0
control	0
.	0
Mr.	PER
Rugova	PER
went	0
on	0
with	0
his	0
regular	0
schedule	0
and	0
said	0
that	0
this	0
proves	0
that	0
there	0
are	0
still	0
elements	0
that	0
want	0
to	0
destabilize	0
Kosovo	COU
.	0
U.S.	COU
officials	0
in	0
Beijing	CIT
have	0
announced	0
that	0
Chinese	PER
President	PER
Hu	PER
Jintao	PER
plans	0
to	0
visit	0
the	0
United	COU
States	COU
in	0
April	0
.	0
Details	0
of	0
his	0
trip	0
have	0
not	0
been	0
released	0
.	0
The	0
news	0
comes	0
as	0
U.S.	PER
Deputy	PER
Secretary	PER
of	PER
State	PER
Robert	PER
Zoellick	PER
is	0
in	0
Beijing	CIT
for	0
talks	0
with	0
top	0
Chinese	0
officials	0
on	0
bilateral	0
relations	0
,	0
security	0
and	0
proliferation	0
issues	0
.	0
Zoellick	PER
met	0
with	0
Chinese	PER
Premier	PER
Wen	PER
Jiabao	PER
Tuesday	0
,	0
and	0
is	0
expected	0
to	0
meet	0
with	0
Foreign	PER
Minister	PER
Li	PER
Zhaoxing	PER
.	0
As	0
part	0
of	0
his	0
three-day	0
trip	0
,	0
Zoellick	PER
will	0
also	0
travel	0
to	0
the	0
southwestern	0
city	0
of	0
Chengdu	CIT
.	0
The	0
U.S.	ORG
military	ORG
says	0
it	0
has	0
not	0
found	0
the	0
pilot	0
of	0
an	0
F-16	0
fighter	0
jet	0
that	0
crashed	0
in	0
Iraq	COU
Monday	0
.	0
Officials	0
say	0
the	0
pilot	0
was	0
not	0
at	0
the	0
crash	0
site	0
northwest	0
of	0
Baghdad	CIT
when	0
U.S.	ORG
ground	ORG
forces	ORG
arrived	0
.	0
The	0
Air	ORG
Force	ORG
says	0
it	0
can	0
not	0
confirm	0
whether	0
the	0
pilot	0
is	0
alive	0
or	0
dead	0
.	0
Military	ORG
officials	0
say	0
fighter	0
aircraft	0
spotted	0
insurgents	0
in	0
the	0
area	0
of	0
the	0
crash	0
site	0
immediately	0
after	0
the	0
warplane	0
went	0
down	0
.	0
Air	ORG
Force	ORG
officials	0
say	0
the	0
cause	0
of	0
the	0
crash	0
is	0
being	0
investigated	0
but	0
that	0
it	0
is	0
unlikely	0
the	0
jet	0
was	0
shot	0
down	0
.	0
Regulators	0
say	0
they	0
will	0
publish	0
results	0
of	0
a	0
special	0
examination	0
of	0
the	0
19	0
largest	0
U.S.	COU
banks	0
on	0
May	0
4	0
.	0
Worries	0
that	0
the	0
large	0
banks	0
might	0
not	0
be	0
strong	0
enough	0
to	0
cope	0
with	0
a	0
deepening	0
recession	0
prompted	0
officials	0
to	0
institute	0
a	0
series	0
of	0
"	0
stress	0
tests	0
.	0
"	0
Experts	0
looked	0
over	0
the	0
banks	0
'	0
assets	0
and	0
tried	0
to	0
figure	0
out	0
if	0
they	0
would	0
need	0
financial	0
help	0
if	0
unemployment	0
rose	0
even	0
higher	0
or	0
other	0
economic	0
conditions	0
deteriorated	0
.	0
Musician	0
Ted	0
Onulak	0
is	0
passionate	0
about	0
his	0
music	0
.	0
His	0
playing	0
and	0
singing	0
style	0
are	0
deeply	0
rooted	0
in	0
the	0
blues	0
,	0
and	0
he	0
lists	0
such	0
jazz	0
greats	0
as	0
Charlie	PER
Parker	PER
and	0
John	PER
Lee	PER
Hooker	PER
as	0
his	0
musical	0
influences	0
.	0
But	0
his	0
current	0
career	0
only	0
came	0
about	0
when	0
fate	0
intervened	0
in	0
his	0
life	0
.	0
VOA	ORG
's	0
Tetiana	0
Koprowicz	0
recently	0
caught	0
up	0
with	0
him	0
and	0
has	0
more	0
on	0
how	0
this	0
former	0
diplomat	0
turned	0
his	0
loss	0
of	0
eyesight	0
into	0
inspiration	0
.	0
Jim	0
Bertel	0
narrates	0
.	0
United	ORG
Nations	ORG
peacekeepers	0
in	0
Haiti	COU
say	0
they	0
will	0
increase	0
patrols	0
to	0
prevent	0
possible	0
kidnappings	0
when	0
schools	0
reopen	0
next	0
week	0
.	0
In	0
a	0
statement	0
,	0
U.N.	ORG
officials	0
said	0
troops	0
and	0
Haitian	ORG
police	ORG
will	0
conduct	0
vehicle	0
searches	0
and	0
other	0
security	0
measures	0
.	0
A	0
U.N.	ORG
spokesman	0
told	0
the	0
Associated	ORG
Press	ORG
that	0
officials	0
fear	0
that	0
kidnappers	0
may	0
seek	0
new	0
victims	0
as	0
students	0
return	0
to	0
class	0
.	0
The	0
U.N.	ORG
Children	ORG
's	ORG
Fund	ORG
has	0
condemned	0
recent	0
abductions	0
of	0
children	0
in	0
and	0
around	0
the	0
Haitian	0
capital	0
,	0
Port-au-Prince	CIT
.	0
Since	0
2004	0
,	0
the	0
U.N.	ORG
force	0
in	0
Haiti	COU
has	0
been	0
working	0
to	0
restore	0
security	0
and	0
battle	0
impunity	0
in	0
the	0
impoverished	0
nation	0
.	0
A	0
suspected	0
U.S.	0
missile	0
strike	0
has	0
killed	0
two	0
people	0
in	0
Pakistan	COU
's	0
North	COU
Waziristan	COU
tribal	0
region	0
.	0
Pakistani	ORG
intelligence	ORG
officials	0
say	0
the	0
strike	0
Saturday	0
hit	0
a	0
house	0
near	0
the	0
region	0
's	0
main	0
town	0
of	0
Miran	CIT
Shah	CIT
.	0
The	0
Pakistani	ORG
government	ORG
has	0
strongly	0
condemned	0
the	0
suspected	0
U.S.	0
strikes	0
in	0
the	0
country	0
,	0
saying	0
they	0
undermine	0
Pakistan	COU
's	0
counter-terrorism	0
efforts	0
.	0
Pakistan	COU
's	0
defense	0
minister	0
,	0
Ahmed	PER
Mukhtar	PER
,	0
says	0
officials	0
will	0
meet	0
in	0
early	0
December	0
to	0
discuss	0
the	0
strikes	0
,	0
which	0
allegedly	0
are	0
carried	0
out	0
by	0
unmanned	0
(	0
drone	0
)	0
U.S.	0
aircraft	0
.	0
President	PER
Bush	PER
said	0
nations	0
around	0
the	0
world	0
need	0
to	0
stand	0
with	0
moderate	0
reformers	0
in	0
the	0
MIddle	COU
East	COU
.	0
He	0
said	0
the	0
world	0
must	0
seek	0
stability	0
in	0
the	0
region	0
through	0
the	0
establishment	0
of	0
free	0
and	0
just	0
societies	0
.	0
Mr.	PER
Bush	PER
also	0
pledged	0
to	0
continue	0
to	0
support	0
the	0
government	ORG
of	ORG
Iraq	ORG
in	0
its	0
struggle	0
with	0
terrorists	0
.	0
In	0
addition	0
,	0
the	0
president	0
said	0
Iran	COU
must	0
abandon	0
what	0
he	0
called	0
its	0
